date,hour,temperature,humidity,pressure,weather
2015-01-22,21,8.3,91,101.91,
2015-01-22,22,8.5,91,101.94,
2015-01-22,23,8.4,92,101.96,
2015-01-22,24,8.8,92,101.98,
2015-01-23,01,8.6,92,102.04,
2015-01-23,02,8.2,93,102.01,
2015-01-23,03,8.2,94,101.99,
2015-01-23,04,8.4,93,101.95,
2015-01-23,05,8.5,93,101.93,
2015-01-23,06,9.2,91,101.89,
2015-01-23,07,9.0,90,101.92,
2015-01-23,08,8.9,91,101.77,
2015-01-23,09,8.8,92,101.72,
2015-01-23,10,8.9,93,101.70,
2015-01-23,11,9.2,93,101.69,
2015-01-23,12,9.5,93,101.66,
2015-01-23,13,9.7,93,101.61,
2015-01-23,14,9.4,93,101.59,
2015-01-23,15,9.8,94,101.47,
2015-01-23,16,9.7,94,101.51,
2015-01-23,17,9.5,94,101.52,
2015-01-23,18,9.2,94,101.44,
2015-01-23,19,9.4,94,101.47,
2015-01-23,20,9.1,94,101.46,
2015-01-23,21,9.5,95,101.53,
2015-01-23,22,10.1,95,101.50,
2015-01-23,23,10.4,95,101.62,
2015-01-23,24,10.5,95,101.68,
2015-01-24,01,10.8,95,101.66,
2015-01-24,02,10.3,95,101.67,
2015-01-24,03,10.5,95,101.74,
2015-01-24,04,11.0,95,101.74,
2015-01-24,05,10.5,95,101.75,
2015-01-24,06,10.2,94,101.77,
2015-01-24,07,9.9,95,101.74,
2015-01-24,08,9.8,95,101.68,
2015-01-24,09,9.7,95,101.75,
2015-01-24,10,10.0,95,101.72,
2015-01-24,11,10.4,95,101.70,
2015-01-24,12,10.1,95,101.74,
2015-01-24,13,10.3,95,101.73,
2015-01-24,14,10.5,95,101.69,
2015-01-24,15,11.1,95,101.58,
2015-01-24,16,11.1,95,101.54,
2015-01-24,17,11.4,94,101.52,
2015-01-24,18,10.7,94,101.48,
2015-01-24,19,10.2,94,101.51,
2015-01-24,20,10.1,95,101.51,
2015-01-24,21,9.9,95,101.51,
2015-01-24,22,9.0,95,101.54,
2015-01-24,23,9.7,95,101.43,
2015-01-24,24,10.4,95,101.53,
2015-01-25,01,10.8,94,101.49,
2015-01-25,02,11.0,91,101.53,
2015-01-25,03,10.4,90,101.51,
2015-01-25,04,10.8,91,101.51,
2015-01-25,05,10.1,92,101.48,
2015-01-25,06,10.1,93,101.49,
2015-01-25,07,9.6,93,101.52,
2015-01-25,08,9.5,94,101.48,
2015-01-25,09,9.5,94,101.43,
2015-01-25,10,10.1,94,101.41,
2015-01-25,11,10.7,94,101.39,
2015-01-25,12,11.1,94,101.43,
2015-01-25,13,10.8,92,101.39,
2015-01-25,14,11.7,92,101.34,
2015-01-25,15,11.4,90,101.28,
2015-01-25,16,11.5,92,101.22,
2015-01-25,17,11.5,90,101.18,
2015-01-25,18,10.5,92,101.09,
2015-01-25,19,8.7,93,101.12,
2015-01-25,20,8.4,94,101.06,
2015-01-25,21,8.6,94,101.03,
2015-01-25,22,7.5,94,100.99,
2015-01-25,23,7.7,95,100.90,
2015-01-25,24,6.3,95,100.85,
2015-01-26,01,9.4,95,100.77,
2015-01-26,02,9.6,92,100.72,
2015-01-26,03,9.5,90,100.66,
2015-01-26,04,9.6,87,100.62,
2015-01-26,05,9.1,88,100.55,
2015-01-26,06,8.8,90,100.57,
2015-01-26,07,6.6,90,100.59,
2015-01-26,08,5.7,93,100.55,
2015-01-26,09,7.2,94,100.58,
2015-01-26,10,7.9,95,100.60,
2015-01-26,11,8.0,95,100.63,
2015-01-26,12,8.2,95,100.65,
2015-01-26,13,8.2,95,100.58,
2015-01-26,14,8.1,94,100.59,
2015-01-26,15,9.3,92,100.47,
2015-01-26,16,10.0,84,100.50,
2015-01-26,17,8.4,89,100.52,
2015-01-26,18,8.2,92,100.55,
2015-01-26,19,7.8,93,100.58,
2015-01-26,20,7.8,94,100.60,
2015-01-26,21,6.7,94,100.62,
2015-01-26,22,6.9,95,100.67,
2015-01-26,23,5.9,94,100.70,
2015-01-26,24,6.9,95,100.72,
2015-01-27,01,6.8,95,100.71,
2015-01-27,02,6.8,95,100.75,
2015-01-27,03,6.8,95,100.78,
2015-01-27,04,7.0,96,100.77,
2015-01-27,05,7.0,96,100.78,
2015-01-27,06,7.4,96,100.78,
2015-01-27,07,7.6,96,100.82,
